,title,link
52,Business Manager at Safaricom Kenya,https://www.myjobmag.co.ke/job/business-manager-safaricom-kenya
53,IT Support Analyst at Luminate,https://www.myjobmag.co.ke/job/it-support-analyst-luminate-1
54,Business Solutions Associate at Koko Networks,https://www.myjobmag.co.ke/job/business-solutions-associate-koko-networks-1
55,Business Development Manager at Corporate Staffing,https://www.myjobmag.co.ke/job/business-development-manager-corporate-staffing-6
56,Business Development and Client Relationship Officer at Old Mutual Kenya,https://www.myjobmag.co.ke/job/business-development-and-client-relationship-officer-old-mutual-kenya
57,Finance Analyst at Kenya Conference of Catholic Bishops,https://www.myjobmag.co.ke/job/finance-analyst-kenya-conference-of-catholic-bishops
58,Business Development Assistant - Travel Insurance Product at ICEA Lion Group,https://www.myjobmag.co.ke/job/business-development-assistant-travel-insurance-product-icea-lion-group
59,Business Development & Strategy Manager at Magnate Ventures,https://www.myjobmag.co.ke/job/business-development-strategy-manager-magnate-ventures
60,Business Development Officer at African Population And Health Research Center (APHRC),https://www.myjobmag.co.ke/job/business-development-officer-african-population-and-health-research-center-aphrc
61,Technical Support Analyst at Anjarwalla & Khanna,https://www.myjobmag.co.ke/job/technical-support-analyst-anjarwalla-amp-khanna
62,Senior Business Development Officer at African Population And Health Research Center (APHRC),https://www.myjobmag.co.ke/job/african-population-and-health-research-center-aphrc-2
63,Agri-investments Analyst – Financial Inclusion at International Fertilizer Development Center (IFDC),https://www.myjobmag.co.ke/job/international-fertilizer-development-center-ifdc-1
64,Business Development Professional at CEVA Logistics,https://www.myjobmag.co.ke/job/ceva-logistics
65,Senior Data Scientist at Tezza Business Solutions Ltd,https://www.myjobmag.co.ke/job/senior-data-scientist-tezza-business-solutions-ltd-1
66,Internship Opportunity for Software Developers at Tezza Business Solutions Ltd,https://www.myjobmag.co.ke/job/internship-opportunity-for-software-developers-tezza-business-solutions-ltd
67,Business Architect at Techsavanna Technology Limited,https://www.myjobmag.co.ke/job/business-architect-techsavanna-technology-limited
68,Business Analyst at Techsavanna Technology Limited,https://www.myjobmag.co.ke/job/business-analyst-techsavanna-technology-limited-4
69,Group Pension Analyst at Liberty Life,https://www.myjobmag.co.ke/job/group-pension-analyst-liberty-life
70,Quality Control Analyst at Sphinx Pharmaceutical Limited,https://www.myjobmag.co.ke/job/quality-control-analyst-sphinx-pharmaceutical-limited-1
71,Risk Operations Analyst II at Citi,https://www.myjobmag.co.ke/job/risk-operations-analyst-ii-citi
72,Risk Analyst/Senior Risk Analyst at SBM Bank,https://www.myjobmag.co.ke/job/risk-analyst-senior-risk-analyst-sbm-bank
73,Investment Analyst at CrossBoundary,https://www.myjobmag.co.ke/job/investment-analyst-crossboundary
74,Data Operations Analyst at M-Kopa Solar,https://www.myjobmag.co.ke/job/m-kopa-solar-7
